Home Score,Category,Away Score
69,Field Goals Attempted,62
28,Field Goals Made,24
40.6%,Field Goals %,38.7%
51,2-Point Field G. Attempted,25
24,2-Point Field Goals Made,12
47.1%,2-Point Field Goals %,48%
18,3-Point Field G. Attempted,37
4,3-Point Field Goals Made,12
22.2%,3-Point Field Goals %,32.4%
13,Free Throws Attempted,21
10,Free Throws Made,19
76.9%,Free Throws %,90.5%
17,Offensive Rebounds,13
25,Defensive Rebounds,25
42,Total Rebounds,38
12,Assists,16
2,Blocks,8
16,Turnovers,14
7,Steals,12
21,Personal Fouls,17